1742,140,0.754,0.347,0.461,0.0,0.831,13,1
1552,141,1.403,0.694,0.494,0.0,0.816,17,1
1811,114,1.552,0.741,0.478,0.0,0.811,13,1
1604,192,0.596,0.39,0.655,0.0,0.966,14,1
1630,205,0.448,0.237,0.529,0.0,0.862,17,1
1758,84,1.673,0.692,0.414,0.0,0.874,13,1
1686,102,1.604,0.755,0.471,0.0,0.882,17,1
1683,194,0.476,0.265,0.556,0.0,0.911,13,1
193,54,2.143,2.143,1.0,0.0,1.0,10,1
1605,454,1.059,0.941,0.889,0.0,0.956,16,1
1736,134,1.956,1.867,0.955,0.0,0.966,16,1
1736,113,0.539,0.37,0.685,0.0,0.888,14,1
1646,171,2.967,2.7,0.91,0.0,0.966,16,1
1599,113,1.792,1.667,0.93,0.0,1.0,16,1
1617,126,3.333,3.296,0.989,0.022,0.989,16,1
1755,131,1.796,1.714,0.955,0.0,0.977,16,1
1624,161,1.6,0.836,0.523,0.0,0.841,13,1
1543,660,1.328,1.134,0.854,0.0,0.899,16,1
1613,156,2.171,2.098,0.966,0.0,0.966,16,1
1566,177,0.724,0.374,0.517,0.0,0.82,13,1
1521,447,1.06,0.905,0.854,0.0,0.955,16,1
1689,112,1.66,0.717,0.432,0.0,0.864,17,1
1759,134,1.978,1.889,0.955,0.0,0.966,16,1
1536,118,0.827,0.615,0.744,0.0,0.942,10,1
1512,441,1.219,0.589,0.483,0.0,0.753,16,1
1643,128,2.618,2.441,0.933,0.0,0.978,16,1
1622,146,2.119,2.0,0.944,0.0,0.966,16,1
1652,121,2.871,2.516,0.876,0.0,0.944,14,1
1829,127,6.429,6.214,0.967,0.0,0.978,13,1
1678,179,0.724,0.301,0.416,0.0,0.719,13,1
1546,441,1.059,0.894,0.844,0.0,0.956,14,1
1755,150,2.195,2.122,0.967,0.0,0.978,16,1
1768,133,2.225,2.125,0.955,0.0,0.966,16,1
1723,116,0.512,0.367,0.718,0.0,0.906,13,1
1878,89,1.66,0.679,0.409,0.0,0.886,14,1
1751,134,3.143,3.143,1.0,0.0,1.0,16,1
1785,164,2.093,1.953,0.933,0.0,0.956,16,1
1509,133,3.462,1.423,0.411,0.0,0.989,14,1
1884,516,1.304,1.116,0.856,0.0,0.9,16,1
398,9,0.096,0.006,0.067,0.0,0.533,16,1
1733,155,2.095,2.024,0.966,0.0,0.977,16,1
1609,134,2.195,2.073,0.944,0.0,1.0,16,1
1251,603,2.143,2.143,1.0,0.0,1.0,13,1
124,79,0.059,0.0,0.0,0.304,0.522,13,1
1764,121,2.195,2.098,0.956,0.0,0.967,16,1
1653,633,1.25,1.097,0.878,0.0,0.911,20,1
1672,111,2.122,2.049,0.966,0.0,0.989,16,1
1501,332,0.977,0.465,0.476,0.0,0.905,16,1
1472,119,1.125,0.463,0.411,0.0,1.0,14,1
274,10,2.143,2.143,1.0,0.0,1.0,10,1
1573,135,2.095,2.048,0.977,0.0,0.977,16,1
1701,127,2.0,1.889,0.944,0.0,0.956,16,1
1608,217,2.07,1.93,0.933,0.0,0.978,16,1
1679,129,1.642,0.717,0.437,0.0,0.851,14,1
1514,110,1.833,1.708,0.932,0.0,0.955,16,1
1680,124,2.781,2.781,1.0,0.0,1.0,16,1
1826,127,6.429,6.0,0.933,0.0,0.978,14,1
1736,995,1.429,1.079,0.756,0.0,0.833,14,1
1647,108,2.122,2.0,0.943,0.0,0.966,16,1
1752,106,0.442,0.015,0.034,0.0,0.632,17,1
1572,108,1.776,1.653,0.931,0.0,0.977,16,1
1922,119,2.342,1.579,0.674,0.0,0.876,13,1
1526,580,1.271,1.114,0.876,0.0,0.955,16,1
1642,146,0.909,0.465,0.511,0.0,0.933,14,1
1791,111,2.697,2.697,1.0,0.0,1.0,16,1
1856,84,1.66,0.66,0.398,0.0,0.841,14,1
1663,155,1.731,0.75,0.433,0.0,0.878,14,1
1597,89,1.673,0.731,0.437,0.0,0.897,17,1
1549,88,0.737,0.339,0.46,0.0,0.862,13,1
1732,162,0.514,0.272,0.528,0.0,0.82,14,1
1558,389,1.147,0.667,0.581,0.0,0.779,16,1
1805,219,2.282,2.128,0.933,0.0,0.955,16,1
1752,118,2.781,2.781,1.0,0.0,1.0,16,1
1640,624,1.324,1.162,0.878,0.0,0.933,16,1
1736,155,1.534,0.741,0.483,0.0,0.854,14,1
1713,144,2.143,2.071,0.967,0.022,0.967,16,1
1738,166,0.897,0.649,0.724,0.0,0.931,10,1
1702,117,0.427,0.214,0.5,0.0,0.773,13,1
1748,138,3.214,3.214,1.0,0.0,1.0,16,1
1528,83,0.817,0.625,0.765,0.0,0.929,10,1
1690,103,2.812,2.812,1.0,0.0,1.0,16,1
1570,116,2.781,2.781,1.0,0.0,1.0,16,1
1616,144,2.933,2.533,0.864,0.0,0.92,16,1
1808,400,1.149,0.676,0.588,0.0,0.847,14,1
1754,143,2.023,1.907,0.943,0.0,0.954,16,1
1768,127,1.854,1.771,0.955,0.0,1.0,16,1
1639,155,5.5,5.5,1.0,0.0,1.0,16,1
1751,147,2.171,2.024,0.933,0.0,0.989,16,1
1504,330,1.0,0.534,0.534,0.0,0.909,20,1
1591,144,2.095,2.024,0.966,0.0,0.989,16,1
1665,135,1.5,0.759,0.506,0.0,0.92,13,1
1645,123,1.796,1.714,0.955,0.0,0.977,16,1
1601,121,2.171,2.024,0.933,0.0,0.978,16,1
1813,107,0.318,0.03,0.095,0.0,0.619,17,1
1694,131,2.0,1.889,0.944,0.0,0.967,16,1
1500,124,5.625,5.625,1.0,0.0,1.0,16,1
1759,142,2.2,2.1,0.955,0.0,0.977,16,1
1640,145,3.179,3.179,1.0,0.0,1.0,16,1
1579,122,2.143,2.0,0.933,0.0,0.967,16,1
1577,150,0.503,0.263,0.522,0.0,0.933,13,1
1516,152,3.0,2.633,0.878,0.0,0.889,16,1
1873,345,0.989,0.489,0.494,0.0,0.885,20,1
1641,118,1.816,1.714,0.944,0.0,0.978,16,1
1698,103,1.698,0.66,0.389,0.0,0.867,13,1
1782,126,6.429,6.071,0.944,0.0,0.967,13,1
1517,81,0.837,0.615,0.736,0.0,0.954,13,1
1631,125,2.07,2.0,0.966,0.0,0.989,16,1
1626,131,5.625,5.625,1.0,0.0,1.0,16,1
1799,175,2.171,2.0,0.921,0.0,0.933,16,1
1475,163,1.127,0.266,0.236,0.0,0.843,22,1
1780,2150,1.459,1.033,0.708,0.0,0.742,16,1
1709,169,6.357,6.0,0.944,0.0,0.944,13,1
1662,144,6.846,6.769,0.989,0.0,0.989,13,1
1690,120,2.098,2.0,0.953,0.0,0.988,16,1
1728,158,2.093,1.977,0.944,0.0,0.956,16,1
1587,340,1.171,0.697,0.596,0.0,0.865,14,1
1613,156,2.195,2.049,0.933,0.0,0.978,16,1
1471,173,0.899,0.636,0.708,0.0,0.933,13,1
1660,101,1.712,0.692,0.404,0.022,0.876,14,1
1663,108,6.923,6.769,0.978,0.0,0.978,13,1
1777,179,1.63,0.833,0.511,0.0,0.818,14,1
1617,135,6.923,6.923,1.0,0.0,1.0,13,1
1635,150,5.933,5.933,1.0,0.0,1.0,16,1
1762,131,2.07,2.047,0.989,0.0,1.0,16,1
1529,544,1.048,0.893,0.852,0.0,0.989,16,1
1565,131,2.045,2.023,0.989,0.0,1.0,16,1
1764,131,3.75,3.75,1.0,0.0,1.0,16,1
1632,168,2.119,1.976,0.933,0.0,0.933,16,1
1493,171,2.871,2.387,0.831,0.0,0.888,16,1
1640,457,0.726,0.685,0.944,0.0,0.989,65,1
1681,115,2.256,2.179,0.966,0.0,1.0,16,1
1517,715,1.343,1.149,0.856,0.0,0.978,16,1
1652,114,2.405,1.676,0.697,0.0,0.933,13,1
1633,167,2.171,2.0,0.921,0.0,0.944,16,1
1699,134,2.119,2.024,0.955,0.0,0.978,16,1
1695,128,2.07,1.953,0.944,0.0,0.966,16,1
1521,151,3.034,2.793,0.92,0.0,0.943,16,1
1842,85,0.305,0.085,0.279,0.0,0.465,22,1
1648,145,3.034,2.897,0.955,0.0,0.977,16,1
1745,117,2.225,2.125,0.955,0.0,0.978,16,1
319,35,0.066,0.039,0.583,0.067,0.583,41,1
1510,417,1.189,0.635,0.534,0.0,0.886,14,1
1508,403,1.133,0.653,0.576,0.0,0.847,14,1
1637,136,3.107,3.107,1.0,0.0,1.0,16,1
1530,728,1.286,1.186,0.922,0.0,0.944,20,1
